 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexical | value
#id=1
#text=Den nu 34-årige multikunstner debuterede ved DM i stand-up i 1993, hvor han fik en 2.-plads.
1-1	Den	den	PP:s-uc:--:-3n-	_	
1-2	nu	nu	D-:----:--:u---	_	
1-3	34	34	LW:----:--:----	_	
1-4	-	-	ZH	_	
1-5	årige	årig	AC:sdu#:--:p---	_	
1-6	multikunstner	multikunstner	NC:siuc:--:----	_	
1-7	debuterede	debutere	VF:----:ta:----	_	
1-8	ved	ved	T-:----:--:----	_	
1-9	DM	DM	NP:siu#:--:----	_	
1-10	i	i	T-:----:--:----	_	
1-11	stand	stand	NW:----:--:----	_	
1-12	-	-	ZH	_	
1-13	up	up	XF:----:--:----	_	
1-14	i	i	T-:----:--:----	_	
1-15	1993	1993	LC:--u-:--:----	_	
1-16	,	,	ZD	_	
1-17	hvor	hvor	D-:----:--:u---	_	
1-18	han	han	PP:s-nc:--:-3n-	_	
1-19	fik	få	VF:----:ta:----	_	
1-20	en	en	PI:s-uc:--:----	_	
1-21	2	2	LO:--u#:--:----	_	
1-22	.	.	ZP	_	
1-23	-	-	ZH	_	
1-24	plads	plads|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads|plads-7|plads-6|plads-5|plads-4-4a|plads-3-3a|plads-2b-2c|plads-2-2a|plads-1a|plads-1	NC:siuc:--:----	plads-4-4a	
1-25	.	.	ZP	_	

#id=2
#text=- Selvfølgelig skal det hænge sammen med baglandet, at jeg er væk i weekenderne, men min mand er bidt af en gal fisker, så vi giver plads til hver vores.
2-1	-	-	NC:piu#:--:----	_	
2-2	Selvfølgelig	selvfølgelig	D-:----:--:u---	_	
2-3	skal	skulle	VF:----:sa:----	_	
2-4	det	det	PP:s-un:--:-3n-	_	
2-5	hænge	hænge	VI:----:-a:----	_	
2-6	sammen	sammen	D-:----:--:u---	_	
2-7	med	med	T-:----:--:----	_	
2-8	baglandet	bagland	NC:sdun:--:----	_	
2-9	,	,	ZD	_	
2-10	at	at	---	_	
2-11	jeg	jeg	PP:s-nc:--:-1n-	_	
2-12	er	være	VF:----:sa:----	_	
2-13	væk	væk	D-:----:--:u---	_	
2-14	i	i	T-:----:--:----	_	
2-15	weekenderne	weekend	NC:pdu#:--:----	_	
2-16	,	,	ZD	_	
2-17	men	men	CC:----:--:----	_	
2-18	min	min	PO:s--c:--:-1ns	_	
2-19	mand	mand	NC:siuc:--:----	_	
2-20	er	være	VF:----:sa:----	_	
2-21	bidt	bide	VT:siu#:t-:----	_	
2-22	af	af	T-:----:--:----	_	
2-23	en	en	PI:s-uc:--:----	_	
2-24	gal	gal	AC:siuc:--:p---	_	
2-25	fisker	fisker	NC:siuc:--:----	_	
2-26	,	,	ZD	_	
2-27	så	så	CS:----:--:----	_	
2-28	vi	vi	PP:p-nc:--:-1n-	_	
2-29	giver	give	VF:----:sa:----	_	
2-30	plads	plads|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-1|plads-2-2a|plads-3-3a|plads-2b-2c|plads-1a|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads|plads-7|plads-6|plads-5|plads-4-4a|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|..)-at-give-(væk)-af)	NC:siuc:--:----	plads-1a	
2-31	til	til	T-:----:--:----	_	
2-32	hver	hver	PI:s-uc:--:----	_	
2-33	vores	vores	XY:----:--:----	_	
2-34	.	.	ZP	_	

#id=3
#text= Alle voksenting var på plads, men en dag fik jeg virkelig lyst til, at der skulle ske noget nyt, erkender Maria.
3-1	Alle	al	PI:p-u#:--:----	_	
3-2	voksenting	voksenting	NC:piu#:--:----	_	
3-3	var	være	VF:----:ta:----	_	
3-4	på	på	T-:----:--:----	_	
3-5	plads	plads|plads-1a|plads-1|plads-4-4a|plads-7|plads-6|plads-5|plads-3-3a|plads-2b-2c|plads-2-2a|plads-F-banke/sætte-på-plads|plads-F-løbe/rende-af-pladsen|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-(på)-plads|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads	NC:siuc:--:----	plads-F-på-plads	
3-6	,	,	ZD	_	
3-7	men	men	CC:----:--:----	_	
3-8	en	en	PI:s-uc:--:----	_	
3-9	dag	dag	NC:siuc:--:----	_	
3-10	fik	få	VF:----:ta:----	_	
3-11	jeg	jeg	PP:s-nc:--:-1n-	_	
3-12	virkelig	virkelig	D-:----:--:u---	_	
3-13	lyst	lyst	NC:siuc:--:----	_	
3-14	til	til	T-:----:--:----	_	
3-15	,	,	ZD	_	
3-16	at	at	CS:----:--:----	_	
3-17	der	der	US:----:--:----	_	
3-18	skulle	skulle	VF:----:ta:----	_	
3-19	ske	ske	VI:----:-a:----	_	
3-20	noget	nogen	PI:s-un:--:----	_	
3-21	nyt	ny	AC:siun:--:p---	_	
3-22	,	,	ZD	_	
3-23	erkender	erkende	VF:----:sa:----	_	
3-24	Maria	Maria	-:----	_	
3-25	.	.	ZP	_	

#id=4
#text=Allerede torsdag tog Rigmor  så hul på det, der skal bane hendes vej tilbage til en plads i solen med lejlighed tæt på de danske jetsettere.
4-1	Allerede	allerede	D-:----:--:u---	_	
4-2	torsdag	torsdag	NC:siuc:--:----	_	
4-3	tog	tage	VF:----:ta:----	_	
4-4	Rigmor	Rigmor	NP:siu#:--:----	_	
4-5	så	så	D-:----:--:u---	_	
4-6	hul	hul	AC:siuc:--:p---	_	
4-7	på	på	T-:----:--:----	_	
4-8	det	det	PP:s-un:--:-3n-	_	
4-9	,	,	ZD	_	
4-10	der	der	US:----:--:----	_	
4-11	skal	skulle	VF:----:sa:----	_	
4-12	bane	bane	VI:----:-a:----	_	
4-13	hendes	hendes	PO:#--#:--:-3ns	_	
4-14	vej	vej	NC:siuc:--:----	_	
4-15	tilbage	tilbage	D-:----:--:u---	_	
4-16	til	til	T-:----:--:----	_	
4-17	en	en	PI:s-uc:--:----	_	
4-18	plads	plads|plads-1|plads-3-3a|plads-4-4a|plads-2b-2c|plads-2-2a|plads-1a|plads-7|plads-F-på-pladserne|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-plads|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads|plads-6|plads-5	NC:siuc:--:----	plads-F-en-plads-i-solen	
4-19	i	i	T-:----:--:----	_	
4-20	solen	sol	NC:sduc:--:----	_	
4-21	med	med	T-:----:--:----	_	
4-22	lejlighed	lejlighed	NC:siuc:--:----	_	
4-23	tæt	tæt	AD:----:--:p---	_	
4-24	på	på	T-:----:--:----	_	
4-25	de	den	PM:p-u#:--:----	_	
4-26	danske	dansk	AC:p#u#:--:p---	_	
4-27	jetsettere	jetsetter	NC:piu#:--:----	_	
4-28	.	.	ZP	_	

#id=5
#text= For så er der plads til Jim Lyngvilds mange ting, som han har samlet igennem årene.
5-1	For	for	CC:----:--:----	_	
5-2	så	så	D-:----:--:u---	_	
5-3	er	være	VF:----:sa:----	_	
5-4	der	der	US:----:--:----	_	
5-5	plads	plads|plads-2b-2c|plads-6|plads-F-en-plads-i-solen|plads-F-på-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads|plads-7|plads-5|plads-4-4a|plads-3-3a|plads-2-2a|plads-1a|plads-1|plads-F-vige-pladsen|plads-F-være-på-sin-plads|plads-F-tage-plads	NC:siuc:--:----	plads-1-2-2a-3-3a	
5-6	til	til	T-:----:--:----	_	
5-7	Jim	Jim	NP:siu#:--:----	_	
5-8	Lyngvilds	Lyngvilds	NP:sig#:--:----	_	
5-9	mange	mangen	AC:sdu#:--:p---	_	
5-10	ting	ting	NC:siun:--:----	_	
5-11	,	,	ZD	_	
5-12	som	som	US:----:--:----	_	
5-13	han	han	PP:s-nc:--:-3n-	_	
5-14	har	have	VF:----:sa:----	_	
5-15	samlet	samle	VT:siu#:t-:----	_	
5-16	igennem	igennem	T-:----:--:----	_	
5-17	årene	år	NC:pdu#:--:----	_	
5-18	.	.	ZP	_	

#id=6
#text=For at gøre plads til hele flokken har forældrene flyttet deres soveværelse ud i en campingvogn.
6-1	For	for	T-:----:--:----	_	
6-2	at	at	UI:----:--:----	_	
6-3	gøre	gøre	VI:----:-a:----	_	
6-4	plads	plads|plads-1|plads-2-2a|plads-5|plads-F-banke/sætte-på-plads|plads-7|plads-6|plads-4-4a|plads-3-3a|plads-2b-2c|plads-1a|plads-F-brikkerne-falder-på-plads|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-(på)-plads|plads-F-tage-plads|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-løbe/rende-af-pladsen|plads-F-en-plads-i-solen	NC:siuc:--:----	plads-1-2-2a-3-3a	
6-5	til	til	T-:----:--:----	_	
6-6	hele	hel	AC:sdu#:--:p---	_	
6-7	flokken	flok	NC:sduc:--:----	_	
6-8	har	have	VF:----:sa:----	_	
6-9	forældrene	forælder	NC:pdu#:--:----	_	
6-10	flyttet	flytte	VT:siu#:t-:----	_	
6-11	deres	deres	PO:#--#:--:-3np	_	
6-12	soveværelse	soveværelse	NC:siun:--:----	_	
6-13	ud	ud	D-:----:--:u---	_	
6-14	i	i	T-:----:--:----	_	
6-15	en	en	PI:s-uc:--:----	_	
6-16	campingvogn	campingvogn	NC:siuc:--:----	_	
6-17	.	.	ZP	_	

#id=7
#text=De har sammen med hustruen Rebecca Rigg en helt speciel plads i Simon Bakers hjerte.
7-1	De	de	PP:p-n#:--:-3n-	_	
7-2	har	have	VF:----:sa:----	_	
7-3	sammen	sammen	D-:----:--:u---	_	
7-4	med	med	T-:----:--:----	_	
7-5	hustruen	hustru	NC:sduc:--:----	_	
7-6	Rebecca	Rebecca	NP:siu#:--:----	_	
7-7	Rigg	Rigg	NP:siu#:--:----	_	
7-8	en	en	PI:s-uc:--:----	_	
7-9	helt	hel	AD:----:--:p---	_	
7-10	speciel	speciel	AC:siuc:--:p---	_	
7-11	plads	plads|plads-F-banke/sætte-på-plads|plads-F-løbe/rende-af-pladsen|ne-på-plads|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-(på)-plads|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads|plads-7|plads-1a|plads-3-3a|plads-2b-2c|plads-2-2a|plads-1|plads-4-4a|plads-6|plads-5	NC:siuc:--:----	plads-2b-2c	
7-12	i	i	T-:----:--:----	_	
7-13	Simon	Simon	NP:siu#:--:----	_	
7-14	Bakers	Amalie	NP:sig#:--:----	_	
7-15	hjerte	hjerte	NC:siun:--:----	_	
7-16	.	.	ZP	_	

#id=8
#text=Da de tager plads i sofaen i Michellas lejlighed i Odense, lægger han armen om hende og trækker hende ind til sig.
8-1	Da	da	CS:----:--:----	_	
8-2	de	de	PP:p-n#:--:-3n-	_	
8-3	tager	tage	VF:----:sa:----	_	
8-4	plads	plads|plads-2b-2c|plads-1|plads-2-2a|plads-1a|plads-3-3a|plads-7|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-på-pladserne|plads-F-tage-plads|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-sætte-tingene-på-plads|plads-F-på-plads|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads|plads-6|plads-5|plads-4-4a	NC:siuc:--:----	plads-1-2-2a-3-3a	
8-5	i	i	T-:----:--:----	_	
8-6	sofaen	sofa	NC:sduc:--:----	_	
8-7	i	i	T-:----:--:----	_	
8-8	Michellas	Michellas	NP:sig#:--:----	_	
8-9	lejlighed	lejlighed	NC:siuc:--:----	_	
8-10	i	i	T-:----:--:----	_	
8-11	Odense	Odense	NP:siu#:--:----	_	
8-12	,	,	ZD	_	
8-13	lægger	lægge	VF:----:sa:----	_	
8-14	han	han	PP:s-nc:--:-3n-	_	
8-15	armen	arm	NC:sduc:--:----	_	
8-16	om	om	T-:----:--:----	_	
8-17	hende	hun	PP:s-uc:--:-3n-	_	
8-18	og	og	CC:----:--:----	_	
8-19	trækker	trække	VF:----:sa:----	_	
8-20	hende	hun	PP:s-uc:--:-3n-	_	
8-21	ind	ind	D-:----:--:u---	_	
8-22	til	til	T-:----:--:----	_	
8-23	sig	sig	PP:#-u#:--:-3y-	_	
8-24	.	.	ZP	_	

#id=9
#text=Skulle ens øvrige sanser også trænge til stimulation, er det ingen sag at lade sig adsprede af et show i skibets teater eller tage plads ved manegekanten i det lille " cirkus", hvor artister svinger sig i trapezerne, mens man indtager sin menu.
9-1	Skulle	skulle	VF:----:ta:----	_	
9-2	ens	ens	AD:----:--:p---	_	
9-3	øvrige	øvrig	AC:p#u#:--:p---	_	
9-4	sanser	sans	NC:piu#:--:----	_	
9-5	også	også	D-:----:--:u---	_	
9-6	trænge	trænge	VI:----:-a:----	_	
9-7	til	til	T-:----:--:----	_	
9-8	stimulation	stimulation	NC:siuc:--:----	_	
9-9	,	,	ZD	_	
9-10	er	være	VF:----:sa:----	_	
9-11	det	det	PP:s-un:--:-3n-	_	
9-12	ingen	ingen	PI:s-uc:--:----	_	
9-13	sag	sag	NC:siuc:--:----	_	
9-14	at	at	UI:----:--:----	_	
9-15	lade	lade	VI:----:-a:----	_	
9-16	sig	sig	PP:#-u#:--:-3y-	_	
9-17	adsprede	adsprede	VI:----:-a:----	_	
9-18	af	af	T-:----:--:----	_	
9-19	et	en	PI:s-un:--:----	_	
9-20	show	show	NC:siun:--:----	_	
9-21	i	i	T-:----:--:----	_	
9-22	skibets	skib	NC:sdgn:--:----	_	
9-23	teater	teater	NC:siun:--:----	_	
9-24	eller	eller	CC:----:--:----	_	
9-25	tage	tage	VI:----:-a:----	_	
9-26	plads	plads|plads-1a|plads-1|plads-2b-2c|plads-4-4a|plads-6|plads-F-banke/sætte-på-plads|plads-F-en-plads-i-solen|plads-F-løbe/rende-af-pladsen|plads-F-på-plads|plads-F-vige-pladsen|plads-F-være-på-sin-plads|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-(på)-plads|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-brikkerne-falder-på-plads|plads-7|plads-5|plads-3-3a|plads-2-2a	NC:siuc:--:----	plads-1-2-2a-3-3a	
9-27	ved	ved	T-:----:--:----	_	
9-28	manegekanten	manegekant	NC:sduc:--:----	_	
9-29	i	i	T-:----:--:----	_	
9-30	det	den	PM:s-un:--:----	_	
9-31	lille	lille	AC:s§u§:--:p---	_	
9-32	"	"	ZI	_	
9-33	cirkus	cirkus	NC:siuc:--:----	_	
9-34	"	"	ZI	_	
9-35	,	,	ZD	_	
9-36	hvor	hvor	D-:----:--:u---	_	
9-37	artister	artist	NC:piu#:--:----	_	
9-38	svinger	svinge	VF:----:sa:----	_	
9-39	sig	sig	PP:#-u#:--:-3y-	_	
9-40	i	i	T-:----:--:----	_	
9-41	trapezerne	trapez	---	_	
9-42	,	,	ZD	_	
9-43	mens	mens	CS:----:--:----	_	
9-44	man	man	PI:#-uc:--:----	_	
9-45	indtager	indtage	VF:----:sa:----	_	
9-46	sin	sin	PO:s--c:--:-3ys	_	
9-47	menu	menu	NC:siuc:--:----	_	
9-48	.	.	ZP	_	

#id=10
#text=Så er der også plads nok med 378 kvadratmeter bolig og over 200 kvadratmeter kælder.
10-1	Så	så	D-:----:--:u---	_	
10-2	er	være	VF:----:sa:----	_	
10-3	der	der	US:----:--:----	_	
10-4	også	også	D-:----:--:u---	_	
10-5	plads	plads|plads-F-tage-plads|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-sætte-tingene-på-plads|plads-2-2a|plads-3-3a|plads-5|plads-7|plads-F-brikkerne-falder-på-plads|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-banke/sætte-på-plads|plads-6|plads-4-4a|plads-2b-2c|plads-1a|plads-1|plads-F-(på)-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-løbe/rende-af-pladsen	NC:siuc:--:----	plads-1-2-2a-3-3a	
10-6	nok	nok	D-:----:--:u---	_	
10-7	med	med	T-:----:--:----	_	
10-8	378	378	LC:--u-:--:----	_	
10-9	kvadratmeter	kvadratmeter	NC:piu#:--:----	_	
10-10	bolig	bolig	NC:siuc:--:----	_	
10-11	og	og	CC:----:--:----	_	
10-12	over	over	T-:----:--:----	_	
10-13	200	200	LC:--u-:--:----	_	
10-14	kvadratmeter	kvadratmeter	NC:piu#:--:----	_	
10-15	kælder	kælder	NC:siuc:--:----	_	
10-16	.	.	ZP	_	

#id=11
#text=Ved den lejlighed samler folk sig på byens åbne pladser for at markere dagen sammen med krigsveteranerne.
11-1	Ved	ved	T-:----:--:----	_	
11-2	den	den	PM:s-uc:--:----	_	
11-3	lejlighed	lejlighed	NC:siuc:--:----	_	
11-4	samler	samle	VF:----:sa:----	_	
11-5	folk	folk	NC:siun:--:----	_	
11-6	sig	sig	PP:#-u#:--:-3y-	_	
11-7	på	på	T-:----:--:----	_	
11-8	byens	by	NC:sdgc:--:----	_	
11-9	åbne	åben	AC:p#u#:--:p---	_	
