lang	original-tag	common-superset-tag
en	B-noun.Tops	B-noun.Tops
en	I-noun.Tops	I-noun.Tops
en	B-noun.act	B-noun.act
en	I-noun.act	I-noun.act
en	B-noun.animal	B-noun.animal
en	I-noun.animal	I-noun.animal
en	B-noun.artifact	B-noun.artifact
en	I-noun.artifact	I-noun.artifact
en	B-noun.attribute	B-noun.attribute
en	I-noun.attribute	I-noun.attribute
en	B-noun.body	B-noun.body
en	I-noun.body	I-noun.body
en	B-noun.cognition	B-noun.cognition
en	I-noun.cognition	I-noun.cognition
en	B-noun.communication	B-noun.communication
en	I-noun.communication	I-noun.communication
en	B-noun.event	B-noun.event
en	I-noun.event	I-noun.event
en	B-noun.feeling	B-noun.feeling
en	I-noun.feeling	I-noun.feeling
en	B-noun.food	B-noun.food
en	I-noun.food	I-noun.food
en	B-noun.group	B-noun.group
en	I-noun.group	I-noun.group
en	B-noun.location	B-noun.location
en	I-noun.location	I-noun.location
en	B-noun.motive	B-noun.motive
en	I-noun.motive	I-noun.motive
en	B-noun.object	B-noun.object
en	I-noun.object	I-noun.object
en	B-noun.person	B-noun.person
en	I-noun.person	I-noun.person
en	B-noun.phenomenon	B-noun.phenomenon
en	I-noun.phenomenon	I-noun.phenomenon
en	B-noun.plant	B-noun.plant
en	I-noun.plant	I-noun.plant
en	B-noun.possession	B-noun.possession
en	I-noun.possession	I-noun.possession
en	B-noun.process	B-noun.act
en	I-noun.process	I-noun.act
en	B-noun.quantity	B-noun.quantity
en	I-noun.quantity	I-noun.quantity
en	B-noun.relation	B-noun.relation
en	I-noun.relation	I-noun.relation
en	B-noun.shape	B-noun.shape
en	I-noun.shape	I-noun.shape
en	B-noun.state	B-noun.state
en	I-noun.state	I-noun.state
en	B-noun.substance	B-noun.substance
en	I-noun.substance	I-noun.substance
en	B-noun.time	B-noun.time
en	I-noun.time	I-noun.time
en	B-verb.body	B-verb.body
en	I-verb.body	I-verb.body
en	B-verb.change	B-verb.change
en	I-verb.change	I-verb.change
en	B-verb.cognition	B-verb.cognition
en	I-verb.cognition	I-verb.cognition
en	B-verb.communication	B-verb.communication
en	I-verb.communication	I-verb.communication
en	B-verb.competition	B-verb.competition
en	I-verb.competition	I-verb.competition
en	B-verb.consumption	B-verb.consumption
en	I-verb.consumption	I-verb.consumption
en	B-verb.contact	B-verb.contact
en	I-verb.contact	I-verb.contact
en	B-verb.creation	B-verb.creation
en	I-verb.creation	I-verb.creation
en	B-verb.emotion	B-verb.emotion
en	I-verb.emotion	I-verb.emotion
en	B-verb.motion	B-verb.motion
en	I-verb.motion	I-verb.motion
en	B-verb.perception	B-verb.perception
en	I-verb.perception	I-verb.perception
en	B-verb.possession	B-verb.possession
en	I-verb.possession	I-verb.possession
en	B-verb.social	B-verb.social
en	I-verb.social	I-verb.social
en	B-verb.stative	B-verb.stative
en	I-verb.stative	I-verb.stative
en	B-verb.weather	B-verb.weather
en	I-verb.weather	I-verb.weather
en	O	O
da	B-adj.TOP	O
da	I-adj.TOP	O
da	B-adj.mental	O
da	I-adj.mental	O
da	B-adj.phys	O
da	I-adj.phys	O
da	B-adj.time	O
da	I-adj.time	O
da	B-adj.social	O
da	I-adj.social	O
da	B-noun.TOP	B-noun.Tops
da	I-noun.TOP	I-noun.Tops
da	B-noun.abstract	B-noun.cognition
da	I-noun.abstract	I-noun.cognition
da	B-noun.act	B-noun.act
da	I-noun.act	I-noun.act
da	B-noun.animal	B-noun.animal
da	I-noun.animal	I-noun.animal
da	B-noun.artifact	B-noun.artifact
da	I-noun.artifact	I-noun.artifact
da	B-noun.attribute	B-noun.attribute
da	I-noun.attribute	I-noun.attribute
da	B-noun.body	B-noun.body
da	I-noun.body	I-noun.body
da	B-noun.building	B-noun.artifact
da	I-noun.building	I-noun.artifact
da	B-noun.cognition	B-noun.cognition
da	I-noun.cognition	I-noun.cognition
da	B-noun.communication	B-noun.communication
da	I-noun.communication	I-noun.communication
da	B-noun.container	B-noun.container
da	I-noun.container	I-noun.container
da	B-noun.disease	B-noun.state
da	I-noun.disease	I-noun.state
da	B-noun.domain	B-noun.cognition
da	I-noun.domain	I-noun.cognition
da	B-noun.event	B-noun.event
da	I-noun.event	I-noun.event
da	B-noun.feeling	B-noun.feeling
da	I-noun.feeling	I-noun.feeling
da	B-noun.food	B-noun.food
da	I-noun.food	I-noun.food
da	B-noun.group	B-noun.group
da	I-noun.group	I-noun.group
da	B-noun.location	B-noun.location
da	I-noun.location	I-noun.location
da	B-noun.motive	B-noun.cognition
da	I-noun.motive	I-noun.cognition
da	B-noun.object	B-noun.object
da	I-noun.object	I-noun.object
da	B-noun.person	B-noun.person
da	I-noun.person	I-noun.person
da	B-noun.phenomenon	B-noun.phenomenon
da	I-noun.phenomenon	I-noun.phenomenon
da	B-noun.plant	B-noun.plant
da	I-noun.plant	I-noun.plant
da	B-noun.possession	B-noun.possession
da	I-noun.possession	I-noun.possession
da	B-noun.quantity	B-noun.quantity
da	I-noun.quantity	I-noun.quantity
da	B-noun.relation	B-noun.relation
da	I-noun.relation	I-noun.relation
da	B-noun.shape	B-noun.shape
da	I-noun.shape	I-noun.shape
da	B-noun.state	B-noun.state
da	I-noun.state	I-noun.state
da	B-noun.substance	B-noun.substance
da	I-noun.substance	I-noun.substance
da	B-noun.time	B-noun.time
da	I-noun.time	I-noun.time
da	B-noun.vehicle	B-noun.artifact
da	I-noun.vehicle	I-noun.artifact
da	B-verb.TOP	B-verb.TOP
da	I-verb.TOP	I-verb.TOP
da	B-verb.body	B-verb.body
da	I-verb.body	I-verb.body
da	B-verb.change	B-verb.change
da	I-verb.change	I-verb.change
da	B-verb.cognition	B-verb.cognition
da	I-verb.cognition	I-verb.cognition
da	B-verb.communication	B-verb.communication
da	I-verb.communication	I-verb.communication
da	B-verb.competition	B-verb.competition
da	I-verb.competition	I-verb.competition
da	B-verb.consumption	B-verb.consumption
da	I-verb.consumption	I-verb.consumption
da	B-verb.contact	B-verb.contact
da	I-verb.contact	I-verb.contact
da	B-verb.creation	B-verb.creation
da	I-verb.creation	I-verb.creation
da	B-verb.emotion	B-verb.emotion
da	I-verb.emotion	I-verb.emotion
da	B-verb.motion	B-verb.motion
da	I-verb.motion	I-verb.motion
da	B-verb.perception	B-verb.perception
da	I-verb.perception	I-verb.perception
da	B-verb.possession	B-verb.possession
da	I-verb.possession	I-verb.possession
da	B-verb.social	B-verb.social
da	I-verb.social	I-verb.social
da	B-verb.stative	B-verb.stative
da	I-verb.stative	I-verb.stative
da	B-verb.weather	B-verb.weather
da	I-verb.weather	I-verb.weather
da	B-verb.phenomenon	B-verb.phenomenon
da	I-verb.phenomenon	I-verb.phenomenon
da	B-verb.act	B-verb.change
da	I-verb.act	I-verb.change
da	B-verb.aspectual	B-verb.aspectual
da	I-verb.aspectual	I-verb.aspectual
da	B-noun.institution	B-noun.group
da	I-noun.institution	I-noun.group
da	B-adj.all	O
da	I-adj.all	O
da	B-verb.PARTICLE	O
da	B-verb.COLL	O
da	I-verb.COLL	O
da	B-verb.REFLPRON	O
da	O	O
da	B-noun.process	B-noun.act
da	I-noun.process	I-noun.act
da	B-noun.Tops	B-noun.Tops
da	I-noun.Tops	I-noun.Tops